Index,Type,Document Name / Company Name,Filing Date / Publication,Source URL,Local Path,Size (MB)
1,Compliance Guideline,sebi_icdr_master_circular.pdf,Official Regulation,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2026/1770636136785.pdf,compliance_guidelines\sebi_icdr_master_circular.pdf,3.67 MB
2,Compliance Guideline,sebi_lodr_master_circular.pdf,Official Regulation,https://www.sebi.gov.in/sebi_data/attachdocs/jan-2026/1769776024792.pdf,compliance_guidelines\sebi_lodr_master_circular.pdf,4.11 MB
3,Compliance Guideline,sebi_sast_master_circular.pdf,Official Regulation,https://avantiscdnprodstorage.blob.core.windows.net/legalupdatedocs/21801/SEBI_Master_Circular_for_Substantial_Acquisition_of_Shares_and_Takeovers_FEB162023.pdf,compliance_guidelines\sebi_sast_master_circular.pdf,21.61 MB
4,IPO Prospectus,Laser Power and Infra Limited,03 Jun 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Jun2026/laser-power.pdf,ipo_documents\2_laser_power_and_infra_limited_drhp.pdf,0.55 MB
5,IPO Prospectus,Pushp Brand India Limited,04 Jun 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Jun2026/pushp-brand.pdf,ipo_documents\1_pushp_brand_india_limited_drhp.pdf,7.76 MB
6,IPO Prospectus,Gaurik Fashions Limited,15 May 2026,https://images.moneycontrol.com/news_html_files/pdffiles/May2026/gaurik-fashions.pdf,ipo_documents\6_gaurik_fashions_limited_drhp.pdf,8.36 MB
7,IPO Prospectus,Matangi Rubber Limited,02 Jun 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Jun2026/matangi-rubber.pdf,ipo_documents\3_matangi_rubber_limited_drhp.pdf,12.89 MB
8,IPO Prospectus,Arohan Financial Services Limited,02 Jun 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Jun2026/arohan-financial.pdf,ipo_documents\4_arohan_financial_services_limited_drhp.pdf,12.31 MB
9,IPO Prospectus,Absolute Projects India Limited,16 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/absolute-projects.pdf,ipo_documents\11_absolute_projects_india_limited_drhp.pdf,10.79 MB
10,IPO Prospectus,Dhoot Transmission Limited,29 May 2026,https://images.moneycontrol.com/news_html_files/pdffiles/May2026/dhoot-transmission.pdf,ipo_documents\5_dhoot_transmission_limited_drhp.pdf,8.01 MB
11,IPO Prospectus,Incred Holdings Limited,14 May 2026,https://images.moneycontrol.com/news_html_files/pdffiles/May2026/incred-holdings.pdf,ipo_documents\7_incred_holdings_limited_drhp.pdf,14.54 MB
12,IPO Prospectus,Jindal Supreme (India) Limited,05 May 2026,https://images.moneycontrol.com/news_html_files/pdffiles/May2026/jindal-supreme.pdf,ipo_documents\9_jindal_supreme_india_limited_drhp.pdf,12.15 MB
13,IPO Prospectus,Monomark Engineering India Limited,16 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/monomark-engineering.pdf,ipo_documents\10_monomark_engineering_india_limited_drhp.pdf,17.8 MB
14,IPO Prospectus,Online Instruments(India) Limited,14 May 14 May 2026,https://images.moneycontrol.com/news_html_files/pdffiles/May2026/online-instruments.pdf,ipo_documents\8_online_instrumentsindia_limited_drhp.pdf,15.93 MB
15,IPO Prospectus,Bharat PET Limited,09 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/bharat-pet.pdf,ipo_documents\14_bharat_pet_limited_drhp.pdf,7.85 MB
16,IPO Prospectus,Gujarat Victory Forgings Limited,08 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/gujarat-victory.pdf,ipo_documents\15_gujarat_victory_forgings_limited_drhp.pdf,9.47 MB
17,IPO Prospectus,Nityas Gems and Jewellery Limited,08 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/nityas-gems.pdf,ipo_documents\16_nityas_gems_and_jewellery_limited_drhp.pdf,8.45 MB
18,IPO Prospectus,Expression 360 Services India Limited,10 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/expression-360.pdf,ipo_documents\12_expression_360_services_india_limited_drhp.pdf,10.51 MB
19,IPO Prospectus,Manipal Health Enterprises Limited,07 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/manipal-health.pdf,ipo_documents\18_manipal_health_enterprises_limited_drhp.pdf,13.71 MB
20,IPO Prospectus,Bvishal Oil and Energy Limited,08 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/bvishal-oil.pdf,ipo_documents\17_bvishal_oil_and_energy_limited_drhp.pdf,11.56 MB
21,IPO Prospectus,Sadbhav Futuretech Limited,07 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/sadbhav-futuretech.pdf,ipo_documents\20_sadbhav_futuretech_limited_drhp.pdf,9.41 MB
22,IPO Prospectus,Sterlite Electric Limited,24 Mar 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Mar2026/sterlite-electric.pdf,ipo_documents\24_sterlite_electric_limited_drhp.pdf,1.13 MB
23,IPO Prospectus,Intellius Recode Limited,07 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/intellius-recode.pdf,ipo_documents\19_intellius_recode_limited_drhp.pdf,7.4 MB
24,IPO Prospectus,T.C. Terrytex Limited,10 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/t-c-terrytex.pdf,ipo_documents\13_tc_terrytex_limited_drhp.pdf,16.27 MB
25,IPO Prospectus,Rentomojo Limited,06 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/rentomojo-limited.pdf,ipo_documents\21_rentomojo_limited_drhp.pdf,8.92 MB
26,IPO Prospectus,SAEL Industries Limited,24 Feb 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Feb2026/sael-industries.pdf,ipo_documents\30_sael_industries_limited_drhp.pdf,0.6 MB
27,IPO Prospectus,RKB Global Limited,02 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/rkb-global.pdf,ipo_documents\22_rkb_global_limited_drhp.pdf,8.7 MB
28,IPO Prospectus,Shreni Shares Limited,09 Mar 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Mar2026/shreni-shares.pdf,ipo_documents\27_shreni_shares_limited_drhp.pdf,4.84 MB
29,IPO Prospectus,Sunil Gold India Limited,09 Mar 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Mar2026/sunil-gold.pdf,ipo_documents\28_sunil_gold_india_limited_drhp.pdf,5.35 MB
30,IPO Prospectus,Truhome Finance Limited,24 Mar 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Mar2026/truhome-finance.pdf,ipo_documents\25_truhome_finance_limited_drhp.pdf,8.25 MB
31,IPO Prospectus,SBI Funds Management Limited,24 Mar 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Mar2026/sbi-funds.pdf,ipo_documents\26_sbi_funds_management_limited_drhp.pdf,9.76 MB
32,IPO Prospectus,Pioneer Fil-Med Limited,02 Apr 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Apr2026/pioneer-fil.pdf,ipo_documents\23_pioneer_filmed_limited_drhp.pdf,16.84 MB
33,IPO Prospectus,Bonfiglioli Transmissions Limited,16 Feb 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Feb2026/bonfiglioli-transmissions.pdf,ipo_documents\32_bonfiglioli_transmissions_limited_drhp.pdf,12.78 MB
34,IPO Prospectus,Moneyview Limited,09 Mar 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Mar2026/moneyview-limited.pdf,ipo_documents\29_moneyview_limited_drhp.pdf,13.16 MB
35,IPO Prospectus,ArMee Infotech Limited,23 Jan 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Jan2026/armee-infotech.pdf,ipo_documents\38_armee_infotech_limited_drhp.pdf,0.45 MB
36,IPO Prospectus,Rays of Belief Limited,17 Feb 2026,https://images.moneycontrol.com/news_html_files/pdffiles/Feb2026/rays-of.pdf,ipo_documents\31_rays_of_belief_limited_drhp.pdf,7.64 MB
